product_title,product_url,slug,spider,image_download,image_upload,asset_download,asset_upload,normalize,validate,firestore,final_status,failure_stage,timestamp
,https://api.whatsapp.com/send?phone=+917227971274&text=https://kapdavilla.com/portfolio/aanaya-twisha-vol-16-exclusive-gown-collection-at-catalog-suppliers,aanaya-twisha-vol-16-exclusive-gown-collection-at-catalog-suppliers,failed,,,,,,,,failed,spider,2026-04-25T19:18:37.238150+00:00
,https://api.whatsapp.com/send?phone=+917227971274&text=https://kapdavilla.com/portfolio/aanaya-vaani-vol-30-designer-net-work-festive-wear-dress-exporters,aanaya-vaani-vol-30-designer-net-work-festive-wear-dress-exporters,failed,,,,,,,,failed,spider,2026-04-25T19:18:37.362584+00:00
,https://api.whatsapp.com/send?phone=+917227971274&text=https://kapdavilla.com/portfolio/aanaya-vaani-vol-8-partywear-salwar-suit-catalog-wholesaler-surat,aanaya-vaani-vol-8-partywear-salwar-suit-catalog-wholesaler-surat,failed,,,,,,,,failed,spider,2026-04-25T19:18:37.523465+00:00
,https://api.whatsapp.com/send?phone=+917227971274&text=https://kapdavilla.com/portfolio/aanaya-vol-121-designer-fancy-anarkali-dealer-rate,aanaya-vol-121-designer-fancy-anarkali-dealer-rate,failed,,,,,,,,failed,spider,2026-04-25T19:18:37.646788+00:00
,https://api.whatsapp.com/send?phone=+917227971274&text=https://kapdavilla.com/portfolio/aanaya-vol-147-designer-party-wear-net-anarkali-gown-catalog-wholesaler,aanaya-vol-147-designer-party-wear-net-anarkali-gown-catalog-wholesaler,failed,,,,,,,,failed,spider,2026-04-25T19:18:37.735681+00:00
,https://api.whatsapp.com/send?phone=+917227971274&text=https://kapdavilla.com/portfolio/aanaya-vol-156-stylish-front-cut-partywear-designer-dress-catalog-wholesaler,aanaya-vol-156-stylish-front-cut-partywear-designer-dress-catalog-wholesaler,failed,,,,,,,,failed,spider,2026-04-25T19:19:02.093388+00:00
,https://api.whatsapp.com/send?phone=+917227971274&text=https://kapdavilla.com/portfolio/aanaya-vol-210-heavy-designer-bridal-wear-dress-catalog-wholesale,aanaya-vol-210-heavy-designer-bridal-wear-dress-catalog-wholesale,failed,,,,,,,,failed,spider,2026-04-25T19:19:02.149508+00:00
,https://kapdavilla.com/portfolio/aanaya-vol-156-stylish-front-cut-partywear-designer-dress-catalog-wholesaler,aanaya-vol-156-stylish-front-cut-partywear-designer-dress-catalog-wholesaler,success,,,,,,,,,,2026-04-25T19:19:48.697861+00:00
Alizeh 5011 Exclusive Designer Partywear Sharara Dress Latest Collection,https://kapdavilla.com/portfolio/alizeh-5011-exclusive-designer-partywear-sharara-dress-latest-collection,alizeh-5011-exclusive-designer-partywear-sharara-dress-latest-collection,success,,,,,,,,,,2026-04-25T19:24:09.166603+00:00
Aanaya Vol 210 Heavy Designer Bridal Wear Dress Catalog Wholesale,https://kapdavilla.com/portfolio/aanaya-vol-210-heavy-designer-bridal-wear-dress-catalog-wholesale,aanaya-vol-210-heavy-designer-bridal-wear-dress-catalog-wholesale,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:24:57.387144+00:00
Aayaa Devi Vol 10 Georgette Printed Kurti With Inner Wholesaler,https://kapdavilla.com/portfolio/aayaa-devi-vol-10-georgette-printed-kurti-with-inner-wholesaler,aayaa-devi-vol-10-georgette-printed-kurti-with-inner-wholesaler,success,skipped (streamed),success,,success,success,failed,,validation_failed,post-validate,2026-04-25T19:33:51.062766+00:00
Alizeh 5012 Latest Designer Partywear Dress Collection,https://kapdavilla.com/portfolio/alizeh-5012-latest-designer-partywear-dress-collection,alizeh-5012-latest-designer-partywear-dress-collection,success,skipped (streamed),success,,success,success,success,uploaded,uploaded,,2026-04-25T19:35:23.947606+00:00
Aanaya Twisha Vol 16 Exclusive Gown Collection At Catalog Suppliers,https://kapdavilla.com/portfolio/aanaya-twisha-vol-16-exclusive-gown-collection-at-catalog-suppliers,aanaya-twisha-vol-16-exclusive-gown-collection-at-catalog-suppliers,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:43:26.856694+00:00
Aanaya Vaani Vol 30 Designer Net Work Festive Wear Dress Exporters,https://kapdavilla.com/portfolio/aanaya-vaani-vol-30-designer-net-work-festive-wear-dress-exporters,aanaya-vaani-vol-30-designer-net-work-festive-wear-dress-exporters,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:43:35.891034+00:00
Aanaya Vaani Vol 8 Partywear Salwar Suit Catalog Wholesaler Surat,https://kapdavilla.com/portfolio/aanaya-vaani-vol-8-partywear-salwar-suit-catalog-wholesaler-surat,aanaya-vaani-vol-8-partywear-salwar-suit-catalog-wholesaler-surat,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:43:45.357324+00:00
Aanaya Vol 121 Designer Fancy Anarkali Dealer Rate,https://kapdavilla.com/portfolio/aanaya-vol-121-designer-fancy-anarkali-dealer-rate,aanaya-vol-121-designer-fancy-anarkali-dealer-rate,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:43:55.028579+00:00
Aanaya Vol 147 Designer Party Wear Net Anarkali Gown Catalog Wholesaler,https://kapdavilla.com/portfolio/aanaya-vol-147-designer-party-wear-net-anarkali-gown-catalog-wholesaler,aanaya-vol-147-designer-party-wear-net-anarkali-gown-catalog-wholesaler,success,skipped (streamed),success,,success,success,success,uploaded,uploaded,,2026-04-25T19:44:04.138485+00:00
Aanaya Vol 152 Wedding Wear Anarkali Designs Dress Wholesaler,https://kapdavilla.com/portfolio/aanaya-vol-152-wedding-wear-anarkali-designs-dress-wholesaler,aanaya-vol-152-wedding-wear-anarkali-designs-dress-wholesaler,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:44:46.105121+00:00
Aanaya Vol 179 7905 To7908 New Colors Wedding Wear Designer Dress Catalog Exporter,https://kapdavilla.com/portfolio/aanaya-vol-179-7905-to7908-new-colors-wedding-wear-designer-dress-catalog-exporter,aanaya-vol-179-7905-to7908-new-colors-wedding-wear-designer-dress-catalog-exporter,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:44:53.830748+00:00
Aanaya Vol 181 8101 To 8104 Designer Anarkali Style Wedding Dress Suppliers,https://kapdavilla.com/portfolio/aanaya-vol-181-8101-to-8104-designer-anarkali-style-wedding-dress-suppliers,aanaya-vol-181-8101-to-8104-designer-anarkali-style-wedding-dress-suppliers,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:45:02.409900+00:00
Aanaya Vol 182 8201 To 8204 Festive Wear Ladies Dress Catalog Dealers,https://kapdavilla.com/portfolio/aanaya-vol-182-8201-to-8204-festive-wear-ladies-dress-catalog-dealers,aanaya-vol-182-8201-to-8204-festive-wear-ladies-dress-catalog-dealers,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:45:13.005628+00:00
Aanaya Vol 186 8601 To 8603 Designer Work Ladies Dress Festive Collection,https://kapdavilla.com/portfolio/aanaya-vol-186-8601-to-8603-designer-work-ladies-dress-festive-collection,aanaya-vol-186-8601-to-8603-designer-work-ladies-dress-festive-collection,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-25T19:45:21.575927+00:00
Chansi Trendz Ct 220 Partywear 3 Piece Pair Latest Collection,https://kapdavilla.com/portfolio/chansi-trendz-ct-220-partywear-3-piece-pair-latest-collection,chansi-trendz-ct-220-partywear-3-piece-pair-latest-collection,success,skipped (streamed),success,,success,success,success,uploaded,uploaded,,2026-04-26T05:28:21.872558+00:00
Chansi Trendz Ct 296 Black Fancy Georgette Palazzo Suit Collection,https://kapdavilla.com/portfolio/chansi-trendz-ct-296-black-fancy-georgette-palazzo-suit-collection,chansi-trendz-ct-296-black-fancy-georgette-palazzo-suit-collection,success,skipped (streamed),success,,success,success,success,uploaded,uploaded,,2026-04-26T05:29:07.551388+00:00
Chansi Trendz Ct 296 Nblue Fancy Georgette 3 Piece Palazzo Suit Collection,https://kapdavilla.com/portfolio/chansi-trendz-ct-296-nblue-fancy-georgette-3-piece-palazzo-suit-collection,chansi-trendz-ct-296-nblue-fancy-georgette-3-piece-palazzo-suit-collection,success,skipped (streamed),success,,success,success,success,uploaded,uploaded,,2026-04-26T05:29:48.315101+00:00
Chansi Trendz Ct 48 Yellow Partywear Readymade Lehenga Choli Collection,https://kapdavilla.com/portfolio/chansi-trendz-ct-48-yellow-partywear-readymade-lehenga-choli-collection,chansi-trendz-ct-48-yellow-partywear-readymade-lehenga-choli-collection,success,skipped (streamed),success,,success,success,success,uploaded,uploaded,,2026-04-26T05:30:28.573248+00:00
Ganga Fashion Ehanvi 4535 Printed Cotton Satin Dress Latest Collection,https://kapdavilla.com/portfolio/ganga-fashion-ehanvi-4535-printed-cotton-satin-dress-latest-collection,ganga-fashion-ehanvi-4535-printed-cotton-satin-dress-latest-collection,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:31:03.113902+00:00
Ganga Fashion Gleya 4623 Designer Chanderi Jacquard Suit Latest Collection,https://kapdavilla.com/portfolio/ganga-fashion-gleya-4623-designer-chanderi-jacquard-suit-latest-collection,ganga-fashion-gleya-4623-designer-chanderi-jacquard-suit-latest-collection,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:31:13.444949+00:00
Ganga Fashion Iriah 4655 Fancy Jacquard Style Designer Suit Collection,https://kapdavilla.com/portfolio/ganga-fashion-iriah-4655-fancy-jacquard-style-designer-suit-collection,ganga-fashion-iriah-4655-fancy-jacquard-style-designer-suit-collection,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:31:24.769147+00:00
Ganga Fashion Ishreen 4477 Premium Cotton Salwar Suit Summer Collection,https://kapdavilla.com/portfolio/ganga-fashion-ishreen-4477-premium-cotton-salwar-suit-summer-collection,ganga-fashion-ishreen-4477-premium-cotton-salwar-suit-summer-collection,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:31:35.135961+00:00
Ganga Fashion Lunel 4614 Exclusive Designs Ladies Dress Collection,https://kapdavilla.com/portfolio/ganga-fashion-lunel-4614-exclusive-designs-ladies-dress-collection,ganga-fashion-lunel-4614-exclusive-designs-ladies-dress-collection,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:31:46.352796+00:00
Gulkayra Royal 7490 And 7491 Latest Designer Partywear Gown Catalog Supplier,https://kapdavilla.com/portfolio/gulkayra-royal-7490-and-7491-latest-designer-partywear-gown-catalog-supplier,gulkayra-royal-7490-and-7491-latest-designer-partywear-gown-catalog-supplier,success,skipped (streamed),success,,success,success,success,uploaded,uploaded,,2026-04-26T05:31:58.122609+00:00
Aanaya Vol 188 8801 To 8804 Designer Organza Dress Catalog Exporters,https://kapdavilla.com/portfolio/aanaya-vol-188-8801-to-8804-designer-organza-dress-catalog-exporters,aanaya-vol-188-8801-to-8804-designer-organza-dress-catalog-exporters,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:47:55.719583+00:00
Aanaya Vol 211 Fancy Designer Suit Salwar Catalog Dealers,https://kapdavilla.com/portfolio/aanaya-vol-211-fancy-designer-suit-salwar-catalog-dealers,aanaya-vol-211-fancy-designer-suit-salwar-catalog-dealers,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:48:08.965788+00:00
Aanaya Vol 225 Patiyal Style Silk Suit Catalog Wholesaler Surat,https://kapdavilla.com/portfolio/aanaya-vol-225-patiyal-style-silk-suit-catalog-wholesaler-surat,aanaya-vol-225-patiyal-style-silk-suit-catalog-wholesaler-surat,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:48:20.230355+00:00
Aanaya Vol 226 Colors Lehenga Style Heavy Salwar Kameez Catalog Wholesaler,https://kapdavilla.com/portfolio/aanaya-vol-226-colors-lehenga-style-heavy-salwar-kameez-catalog-wholesaler,aanaya-vol-226-colors-lehenga-style-heavy-salwar-kameez-catalog-wholesaler,success,,,,,success,pre-validation_failed,,failed,pre-validate,2026-04-26T05:48:31.243345+00:00
